,Timestamp (ms),Left Eye Center X,Left Eye Center Y,Right Eye Center X,Right Eye Center Y,Left Iris Relative Pos Dx,Left Iris Relative Pos Dy,Right Iris Relative Pos Dx,Right Iris Relative Pos Dy,Total Blink Count,Pitch,Yaw,Roll
8051,1730389766672,424.0,294.5,359.0384521484375,286.9615478515625,77,8,-51,-11,5,-4.086074236432319,23.24445146285915,2.244653878396069
8052,1730389766715,424.0,294.5,359.0384521484375,286.9615478515625,76,8,-51,-11,5,-4.139263735933033,22.776548928943225,2.308586103876597
8053,1730389766715,424.0,294.5,359.0384521484375,286.9615478515625,76,8,-51,-11,5,-4.139263735933033,22.776548928943225,2.308586103876597
8054,1730389766741,424.0,294.5,359.0,287.5,76,7,-51,-10,5,-4.149016174288224,22.157463136090293,2.3350293291203084
8055,1730389766741,424.0,294.5,359.0,287.5,76,7,-51,-10,5,-4.149016174288224,22.157463136090293,2.3350293291203084
8056,1730389766772,424.0,294.5,359.0,287.5,77,8,-51,-10,5,-4.398587115815616,21.526879646159347,2.3747330404169427
8057,1730389766772,424.0,294.5,359.0,287.5,77,8,-51,-10,5,-4.398587115815616,21.526879646159347,2.3747330404169427
8058,1730389766807,424.0,294.5,359.0,287.5,77,7,-51,-10,5,-4.479056417256313,20.862801315565072,2.3585438132760013
8059,1730389766807,424.0,294.5,359.0,287.5,77,7,-51,-10,5,-4.479056417256313,20.862801315565072,2.3585438132760013
8060,1730389766845,424.0,294.5,359.0,287.5,76,7,-51,-10,5,-4.526706165988495,20.30087459814212,2.4262522713234658
8061,1730389766845,424.0,294.5,359.0,287.5,76,7,-51,-10,5,-4.526706165988495,20.30087459814212,2.4262522713234658
8062,1730389766873,424.5,294.5,359.0,287.5,76,7,-51,-10,5,-4.534324992226553,19.873998368303457,2.469093628199868
8063,1730389766873,424.5,294.5,359.0,287.5,76,7,-51,-10,5,-4.534324992226553,19.873998368303457,2.469093628199868
8064,1730389766910,424.5,294.5,359.5,287.5,76,8,-51,-10,5,-4.537438496786351,19.88862499903194,2.535479702267968
8065,1730389766910,424.5,294.5,359.5,287.5,76,8,-51,-10,5,-4.537438496786351,19.88862499903194,2.535479702267968
8066,1730389766939,425.0,294.5,360.0,287.5,77,7,-51,-10,5,-4.4211942385560405,19.34630045540849,2.495151925813899
